"","Ensembl_ID","logFC","logCPM","F","PValue","FDR","Significant","hgnc_symbol","gene_biotype"
"426","ENSG00000034971",-4.9463343792924,3.29733613706078,194.023465065177,5.99897671019812e-37,2.63251646944763e-34,TRUE,"MYOC","protein_coding"
"6358","ENSG00000143369",-3.02935043535449,6.76505108578411,189.138735691101,3.3192024422574e-36,1.40800567600559e-33,TRUE,"ECM1","protein_coding"
"1728","ENSG00000099860",-2.11655102999815,5.4101855405651,187.613111137609,5.70384494115702e-36,2.2774090202595e-33,TRUE,"GADD45B","protein_coding"
"6803","ENSG00000148180",-1.8717223473439,9.0041798791891,187.601886251364,5.7266296281867e-36,2.2774090202595e-33,TRUE,"GSN","protein_coding"
"12049","ENSG00000224041",-3.70641751413983,2.85511744300358,186.612316249077,8.21190145180542e-36,3.16680781441442e-33,TRUE,"IGKV3D-15","IG_V_gene"
"3338","ENSG00000114166",-1.58711164062495,4.86909772483791,185.18573039193,1.35350835128556e-35,5.06610214072353e-33,TRUE,"KAT2B","protein_coding"
"1742","ENSG00000099958",-3.14067430651399,3.42144324666734,183.094739000676,2.86085383570287e-35,1.04020645466156e-32,TRUE,"DERL3","protein_coding"
"12251","ENSG00000239264",-2.19004632052169,2.71254635503499,181.962658764473,4.3002409327827e-35,1.52013516973869e-32,TRUE,"TXNDC5","protein_coding"
"8266","ENSG00000164283",4.71793090217594,2.98150616289843,179.730632498002,9.48249431533895e-35,3.26146547721631e-32,TRUE,"ESM1","protein_coding"
"7068","ENSG00000151729",-1.8937195721143,5.17475785615463,177.277594009138,2.31361424878047e-34,7.7481723499948e-32,TRUE,"SLC25A4","protein_coding"
"3554","ENSG00000116044",-0.979320585957201,7.28412088894476,176.790787668477,2.75863909229311e-34,9.00165156115952e-32,FALSE,"NFE2L2","protein_coding"
"10875","ENSG00000187288",-3.69809495595043,3.12554600150745,174.149845662787,7.21578563427821e-34,2.29570219954561e-31,TRUE,"CIDEC","protein_coding"
"11787","ENSG00000211445",-2.47429561321309,6.49145120836609,173.323683164575,9.69639239090215e-34,3.00966559918587e-31,TRUE,"GPX3","protein_coding"
"5165","ENSG00000133710",-4.54934706732136,6.70961661883502,171.741545824991,1.72485619602543e-33,5.22631427395704e-31,TRUE,"SPINK5","protein_coding"
"7203","ENSG00000153446",-3.5404812159024,3.16535170893098,170.514150188481,2.70882176420807e-33,8.01685250495626e-31,TRUE,"C16orf89","protein_coding"
"3804","ENSG00000118777",-2.74676071311523,3.41735971766603,169.613905299193,3.75409980951921e-33,1.08578804945321e-30,TRUE,"ABCG2","protein_coding"
"4044","ENSG00000121552",-4.71514225643085,6.69719689539746,168.667734784621,5.30383609038396e-33,1.49992484636058e-30,TRUE,"CSTA","protein_coding"
"1109","ENSG00000076351",-2.02641404136463,2.94783204246211,168.341847696615,5.98576487047037e-33,1.65597486394795e-30,TRUE,"SLC46A1","protein_coding"
"12321","ENSG00000243264",-3.89184369063878,3.75652463846676,168.00461881142,6.77195170004696e-33,1.83361398584676e-30,TRUE,"IGKV2D-29","IG_V_gene"
"9359","ENSG00000171503",-1.30589028846736,4.57393069023071,166.698315890932,1.09257192896487e-32,2.8966813266681e-30,TRUE,"ETFDH","protein_coding"
"7608","ENSG00000158828",-1.35949123968439,4.25276134000304,164.858917240248,2.1503610834158e-32,5.58479492807133e-30,TRUE,"PINK1","protein_coding"
"8218","ENSG00000164096",-1.20749003379777,6.36530816322357,164.681203666401,2.29597510235165e-32,5.80707249480715e-30,TRUE,"ARLN","protein_coding"
"7785","ENSG00000160868",-4.67108137294646,4.05133055856476,164.628584395888,2.34591933615967e-32,5.80707249480715e-30,TRUE,"CYP3A4","protein_coding"
"3743","ENSG00000117758",-0.899376081368819,5.78450836038818,164.591915025154,2.37284118914012e-32,5.80707249480715e-30,FALSE,"STX12","protein_coding"
"9882","ENSG00000176273",-1.88213413653057,3.72082393492762,164.490988020199,2.46359850867081e-32,5.91542540025372e-30,TRUE,"SLC35G1","protein_coding"
"5330","ENSG00000135046",-3.06299163625619,8.50886529801005,164.022634596475,2.92751939361012e-32,6.89918737094118e-30,TRUE,"ANXA1","protein_coding"
"5392","ENSG00000135447",-3.86570717794711,2.96924046530744,163.20433272796,3.98773941684931e-32,9.22690396705897e-30,TRUE,"PPP1R1A","protein_coding"
"9926","ENSG00000176928",-2.6852155326148,3.58543205668628,163.10939950539,4.10417664673158e-32,9.32674142969752e-30,TRUE,"GCNT4","protein_coding"
"10461","ENSG00000183172",-1.13403512563538,5.19486052198784,160.902984519466,9.28926400934193e-32,2.0739504172436e-29,TRUE,"SMDT1","protein_coding"
"6910","ENSG00000149476",-1.45972982287823,5.49352073297351,160.632825503582,1.02690813376502e-31,2.24619928395321e-29,TRUE,"TKFC","protein_coding"
"1857","ENSG00000100417",-1.40839820536792,3.73723271242665,160.595751863464,1.04137794871318e-31,2.24619928395321e-29,TRUE,"PMM1","protein_coding"
"9418","ENSG00000172005",-5.06994798366738,6.36959636762143,160.060320040363,1.27024342003157e-31,2.69418629388697e-29,TRUE,"MAL","protein_coding"
"5911","ENSG00000138823",-4.51600554179077,4.8166330438274,159.317928607498,1.67468294349945e-31,3.49377297360229e-29,TRUE,"MTTP","protein_coding"
"7746","ENSG00000160445",-0.992472191294758,6.29721590716278,158.017211401241,2.71765577358222e-31,5.57820764106571e-29,FALSE,"ZER1","protein_coding"
"5071","ENSG00000132744",-2.66171547169887,4.5187791449882,157.411926903139,3.40627153429788e-31,6.88066849928172e-29,TRUE,"ACY3","protein_coding"
"677","ENSG00000060971",-1.15341904809025,5.04712210874234,157.230353634267,3.64508695638183e-31,7.24802759483049e-29,TRUE,"ACAA1","protein_coding"
"5427","ENSG00000135697",-2.71525437336169,2.63997962068915,156.052447445726,5.68597468164598e-31,1.11322636613272e-28,TRUE,"BCO1","protein_coding"
"3758","ENSG00000118193",2.53287666890777,3.93098826817134,155.909163773054,5.98242730408005e-31,1.15352075563216e-28,TRUE,"KIF14","protein_coding"
"6573","ENSG00000145384",-4.60111764086186,4.24079649805708,155.692354321604,6.48457530291289e-31,1.23168216872939e-28,TRUE,"FABP2","protein_coding"
"1615","ENSG00000092853",2.24521493020532,4.2846885177748,155.215107606447,7.75216076386234e-31,1.43394818926715e-28,TRUE,"CLSPN","protein_coding"
"4712","ENSG00000129538",-2.31168979879158,7.97628966162337,155.205050825486,7.77482516575777e-31,1.43394818926715e-28,TRUE,"RNASE1","protein_coding"
"9155","ENSG00000170006",-2.3525457490832,4.38581700598915,155.107128848075,8.06559827106422e-31,1.46632576567948e-28,TRUE,"TMEM154","protein_coding"
"3891","ENSG00000119711",-1.24793184462567,5.09420511281673,154.600616633549,9.7519431367075e-31,1.74793279377098e-28,TRUE,"ALDH6A1","protein_coding"
"11910","ENSG00000213639",-0.917019558420204,7.64973070133491,154.08916780579,1.1814928937739e-30,2.08828868974537e-28,FALSE,"PPP1CB","protein_coding"
"11120","ENSG00000196502",-2.09555498229356,3.8242514645409,153.702427081736,1.36652469520049e-30,2.36625540492424e-28,TRUE,"SULT1A1","protein_coding"
"4161","ENSG00000123091",-0.914463124997761,6.42718924114031,153.683405428992,1.37594609432967e-30,2.36625540492424e-28,FALSE,"RNF11","protein_coding"
"440","ENSG00000036672",-2.41290670426698,2.44324061307289,153.655117421785,1.39753781241545e-30,2.37134216010654e-28,TRUE,"USP2","protein_coding"
"5606","ENSG00000136872",-4.42058220759899,7.72362169282862,153.55670205145,1.44302226273197e-30,2.41630280467461e-28,TRUE,"ALDOB","protein_coding"
"3348","ENSG00000114346",2.31728362583296,6.67097947950025,153.27694877485,1.60298931779056e-30,2.63094970463516e-28,TRUE,"ECT2","protein_coding"
"3129","ENSG00000111961",-1.60335981086215,5.46413489210549,153.261116787913,1.61255757474102e-30,2.63094970463516e-28,TRUE,"SASH1","protein_coding"
"9575","ENSG00000173237",-4.05127711817161,3.12234303684148,152.776423382953,1.94575830905838e-30,3.13439496722492e-28,TRUE,"C11orf86","protein_coding"
"9901","ENSG00000176533",-2.26863676512015,3.30878617654792,152.458385424542,2.18227857513415e-30,3.44442547459089e-28,TRUE,"GNG7","protein_coding"
"2136","ENSG00000102547",-2.01003275436893,4.2611557596765,152.444622179004,2.19235001918798e-30,3.44442547459089e-28,TRUE,"CAB39L","protein_coding"
"8881","ENSG00000168079",-3.27142313485365,3.44469195119924,151.266706294823,3.42075540959154e-30,5.30884552956852e-28,TRUE,"SCARA5","protein_coding"
"882","ENSG00000069011",-2.21542609719433,6.68667617929105,150.349183548124,4.8312500623138e-30,7.40752871000066e-28,TRUE,"PITX1","protein_coding"
"8827","ENSG00000167779",-2.28369370091666,4.5816339194334,150.097850273225,5.31255013010918e-30,8.0485134471154e-28,TRUE,"IGFBP6","protein_coding"
"3819","ENSG00000118985",-1.55157251262016,5.73898001668766,149.971744923113,5.57187226035844e-30,8.34207604533194e-28,TRUE,"ELL2","protein_coding"
"6465","ENSG00000144063",-2.54396391730103,4.03236092600481,148.580035824457,9.43682849073337e-30,1.39643115550085e-27,TRUE,"MALL","protein_coding"
"4273","ENSG00000124299",-1.3638309336416,6.36321111015689,148.093019290499,1.13478116815648e-29,1.65991093631717e-27,TRUE,"PEPD","protein_coding"
"6118","ENSG00000140961",-1.83812293222173,3.15398703033741,147.712699991422,1.31169332104917e-29,1.89688740950815e-27,TRUE,"OSGIN1","protein_coding"
"556","ENSG00000050344",2.2496069611224,5.55648133986715,147.5799460215,1.37878464718309e-29,1.97150712584853e-27,TRUE,"NFE2L3","protein_coding"
"11836","ENSG00000211899",-3.54927454667561,10.1447294067519,147.525392266995,1.40747176054825e-29,1.99016506941523e-27,TRUE,"IGHM","IG_C_gene"
"3155","ENSG00000112242",1.30427865416637,4.61437437983839,147.396723916815,1.47809721690409e-29,2.06706210794741e-27,TRUE,"E2F3","protein_coding"
"5916","ENSG00000138942",-0.666296855609889,5.15309220091023,146.372846444437,2.18084350769158e-29,3.01667548683511e-27,FALSE,"RNF185","protein_coding"
"6176","ENSG00000141504",-1.22883662401084,4.58357876581071,145.872010047188,2.63867904683311e-29,3.61073436021486e-27,TRUE,"SAT2","protein_coding"
"7316","ENSG00000155090",-1.30431687545677,6.73112560397049,145.523463439081,3.01316869407114e-29,4.07931753199461e-27,TRUE,"KLF10","protein_coding"
"1399","ENSG00000087008",-1.03039620762556,4.2897071248137,144.891814145593,3.83324830526519e-29,5.13493872976893e-27,TRUE,"ACOX3","protein_coding"
"5660","ENSG00000137193",-1.57811847117247,5.89490144522713,144.810668831049,3.95369968882159e-29,5.24112314999411e-27,TRUE,"PIM1","protein_coding"
"5592","ENSG00000136826",-1.79664901797776,6.88263733702792,144.706605263953,4.11376974542676e-29,5.39709626601041e-27,TRUE,"KLF4","protein_coding"
"4203","ENSG00000123500",7.11843430847449,5.43607274272834,143.836884251397,5.70901895712645e-29,7.33972935422242e-27,TRUE,"COL10A1","protein_coding"
"3731","ENSG00000117640",-0.931913911412451,4.46882280701829,143.847698456843,5.70983188800896e-29,7.33972935422242e-27,FALSE,"MTFR1L","protein_coding"
"2846","ENSG00000108924",-2.86275499731912,3.44245278552955,143.527896515761,6.45602744752236e-29,8.21594052971695e-27,TRUE,"HLF","protein_coding"
