"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Tumor_vs_Normal","B","GeneName","ENTREZID"
"206134_at","ADAMDEC1",-2.51984718831169,11.0326682882883,-8.72707437707612,2.86371896235024e-14,1.38684928965818e-11,2.51984718831169,22.0200750010865,"ADAM like decysin 1","27299"
"205290_s_at","BMP2",-1.69036955194805,9.41078585585586,-8.71755368377668,3.01061755204956e-14,1.4269686639789e-11,1.69036955194805,21.9715888848952,"bone morphogenetic protein 2","650"
"204818_at","HSD17B2",-2.64970560714286,8.99489558558558,-8.6582160235608,4.11119336376914e-14,1.90802197009761e-11,2.64970560714286,21.6696028989501,"hydroxysteroid 17-beta dehydrogenase 2","3294"
"220074_at","CDHR5",-1.58490715584416,8.16729792792793,-8.62573793656768,4.8748703182066e-14,2.17929616635121e-11,1.58490715584416,21.5044651783595,"cadherin related family member 5","53841"
"214142_at","ZG16",-3.50021471753247,11.6724200900901,-8.62509404791113,4.89135917392649e-14,2.17929616635121e-11,3.50021471753247,21.5011923845844,"zymogen granule protein 16","653808"
"213309_at","PLCL2",-1.3897062987013,8.72503963963964,-8.59266664178212,5.79774972380669e-14,2.53247981563219e-11,1.3897062987013,21.33642553058,"phospholipase C like 2","23228"
"211494_s_at","SLC4A4",-1.47920367532468,7.5253609009009,-8.55826820886544,6.94260395408324e-14,2.97423823625216e-11,1.47920367532468,21.1617679246242,"solute carrier family 4 member 4","8671"
"202404_s_at","COL1A2",1.79152965909091,11.3334238738739,8.46770201496922,1.11506238549318e-13,4.6868386342701e-11,-1.79152965909091,20.7025545251784,"collagen type I alpha 2 chain","1278"
"219722_s_at","GDPD3",-1.68391448376624,8.41000864864865,-8.45105775572026,1.21638634742891e-13,5.01804419660625e-11,1.68391448376624,20.6182638224528,"glycerophosphodiester phosphodiesterase domain containing 3","79153"
"211385_x_at","SULT1A2",-1.23331980519481,9.36713369369369,-8.43921441931509,1.29401686922097e-13,5.24123887193374e-11,1.23331980519481,20.5583063200984,"sulfotransferase family 1A member 2","6799"
"204130_at","HSD11B2",-1.98956841233766,9.67022486486487,-8.38135661563484,1.7502179018389e-13,6.78850092634986e-11,1.98956841233766,20.2656434872226,"hydroxysteroid 11-beta dehydrogenase 2","3291"
"207432_at","BEST2",-1.79492872727273,7.3720990990991,-8.38056735003918,1.75743788345556e-13,6.78850092634986e-11,1.79492872727273,20.2616539956615,"bestrophin 2","54831"
"206121_at","AMPD1",-1.12456368181818,7.30383873873874,-8.37947904981222,1.76744199725408e-13,6.78850092634986e-11,1.12456368181818,20.2561531051969,"adenosine monophosphate deaminase 1","270"
"203343_at","UGDH",-1.15077486038961,10.8906210810811,-8.37605030123019,1.79933260803724e-13,6.79385296766873e-11,1.15077486038961,20.2388232239043,"UDP-glucose 6-dehydrogenase","7358"
"217207_s_at","BTNL3",-1.40990096103896,8.35048243243243,-8.36628025970369,1.89337889766134e-13,7.02980028386695e-11,1.40990096103896,20.1894507339226,"butyrophilin like 3","10917"
"204378_at","BCAS1",-1.83415525649351,8.89736477477478,-8.36063290636773,1.94995515831434e-13,7.12117230520795e-11,1.83415525649351,20.1609175717208,"brain enriched myelin associated protein 1","8537"
"211372_s_at","IL1R2",-1.88349939285714,8.52432207207207,-8.34515012349427,2.11384267726995e-13,7.59517311637784e-11,1.88349939285714,20.0827118586517,"interleukin 1 receptor type 2","7850"
"206641_at","TNFRSF17",-1.72609534090909,8.18819621621622,-8.32531783050821,2.34394301246699e-13,8.28825690297257e-11,1.72609534090909,19.9825810854832,"TNF receptor superfamily member 17","608"
"564_at","GNA11",-1.25663406168831,9.75354990990991,-8.29359245400941,2.76493903743402e-13,9.62414795889338e-11,1.25663406168831,19.8225100741889,"G protein subunit alpha 11","2767"
"205997_at","ADAM28",-1.21925656168831,8.44140702702703,-8.27280185761103,3.08082215508941e-13,1.0398708355898e-10,1.21925656168831,19.717682881723,"ADAM metallopeptidase domain 28","10863"
"206094_x_at","UGT1A6",-2.09754993506494,9.32208297297297,-8.23974219644388,3.65864642599275e-13,1.19858332988001e-10,2.09754993506494,19.5511142999398,"UDP glucuronosyltransferase family 1 member A6","54578"
"207126_x_at","UGT1A1",-2.31626630844156,9.31729648648649,-8.22865413763462,3.87564960428012e-13,1.2505478372303e-10,2.31626630844156,19.4952813613023,"UDP glucuronosyltransferase family 1 member A1","54658"
"205757_at","ENTPD5",-1.64412230844156,7.71685216216216,-8.2259963470658,3.92953937272168e-13,1.2505478372303e-10,1.64412230844156,19.4819008092693,"ectonucleoside triphosphate diphosphohydrolase 5 (inactive)","957"
"202962_at","KIF13B",-1.20178090584416,9.45732684684685,-8.21944617932586,4.0655553863071e-13,1.25789412973282e-10,1.20178090584416,19.4489283959178,"kinesin family member 13B","23303"
"219796_s_at","CDHR5",-1.79483791558442,8.42387945945946,-8.1905601709057,4.72346249157393e-13,1.40299431899723e-10,1.79483791558442,19.3035925985886,"cadherin related family member 5","53841"
"220310_at","TUBAL3",-1.69024062662338,8.74372108108108,-8.18181110701133,4.94288354790259e-13,1.44885022100824e-10,1.69024062662338,19.2595961125219,"tubulin alpha like 3","79861"
"203367_at","DUSP14",1.08770950324675,7.63393216216216,8.17407389867959,5.14535921416615e-13,1.48587784829278e-10,-1.08770950324675,19.2206970120293,"dual specificity phosphatase 14","11072"
"213766_x_at","GNA11",-1.1209704512987,10.4979106306306,-8.17194117738148,5.20260682169217e-13,1.48587784829278e-10,1.1209704512987,19.2099761776693,"G protein subunit alpha 11","2767"
"207080_s_at","PYY",-1.82009033441559,6.49741495495496,-8.16461837295935,5.40403460411162e-13,1.52386935285816e-10,1.82009033441559,19.1731706144053,"peptide YY","5697"
"212573_at","ENDOD1",-1.11694462987013,9.71818567567568,-8.14236548559397,6.06498666696263e-13,1.68887134974908e-10,1.11694462987013,19.0613715001116,"endonuclease domain containing 1","23052"
"204702_s_at","NFE2L3",1.658256,7.21444162162162,8.13124494207616,6.4248173062341e-13,1.76698339667873e-10,-1.658256,19.0055285267084,"NFE2 like bZIP transcription factor 3","9603"
"205403_at","IL1R2",-2.18971388636364,9.39007711711712,-8.12477598679856,6.64382191037209e-13,1.80493195972389e-10,2.18971388636364,18.9730523165708,"interleukin 1 receptor type 2","7850"
"201506_at","TGFBI",1.43094324675325,11.9602654954955,8.11837210119606,6.86793437393321e-13,1.84333703672422e-10,-1.43094324675325,18.9409088378097,"transforming growth factor beta induced","7045"
"220186_s_at","CDHR2",-1.23386616883117,7.67362441441441,-8.10977518267956,7.18065895755467e-13,1.90432785235054e-10,1.23386616883117,18.897767234918,"cadherin related family member 2","54825"
"211116_at","SLC9A2",-1.44538174025974,7.42006585585586,-8.07554313107951,8.5727409968388e-13,2.19511438145492e-10,1.44538174025974,18.7260910907652,"solute carrier family 9 member A2","6549"
"204532_x_at","UGT1A9",-2.20429162012987,9.50741567567568,-8.05666651807513,9.45197687442751e-13,2.38831389944306e-10,2.20429162012987,18.6314992073182,"UDP glucuronosyltransferase family 1 member A9","54600"
"213155_at","WSCD1",-1.26804802922078,7.03406369369369,-8.05483984232221,9.54167693362806e-13,2.38831389944306e-10,1.26804802922078,18.6223485060905,"WSC domain containing 1","23302"
"214601_at","TPH1",-1.75726966233766,6.62469063063063,-8.02594367877635,1.10786192841436e-12,2.71207034937216e-10,1.75726966233766,18.4776620363662,"tryptophan hydroxylase 1","7166"
"205945_at","IL6R",-1.25082363311689,7.5711572972973,-8.01683883052537,1.16121062051139e-12,2.81177054273176e-10,1.25082363311689,18.4320998483484,"interleukin 6 receptor","3570"
"209545_s_at","RIPK2",1.07380793506494,8.40503657657658,7.99391208531745,1.30713028987567e-12,3.09775973059153e-10,-1.07380793506494,18.3174282310875,"receptor interacting serine/threonine kinase 2","8767"
"218756_s_at","DHRS11",-2.07802815584416,8.07466216216216,-7.98652470944925,1.35792479649425e-12,3.18426217805288e-10,2.07802815584416,18.2804968582353,"dehydrogenase/reductase 11","79154"
"215125_s_at","UGT1A10",-2.36924749675325,9.22197378378378,-7.97861256680227,1.41450514973449e-12,3.28238866881616e-10,2.36924749675325,18.2409516883803,"UDP glucuronosyltransferase family 1 member A10","54575"
"217997_at","PHLDA1",1.50039288961039,8.34170315315315,7.96384207723371,1.52647381313666e-12,3.50066000831304e-10,-1.50039288961039,18.1671551052168,"pleckstrin homology like domain family A member 1","22822"
"215657_at","SLC26A3",-1.43010014935065,8.3082263963964,-7.96143691795059,1.54552242108097e-12,3.50066000831304e-10,1.43010014935065,18.1551417316019,"solute carrier family 26 member 3","1811"
"206561_s_at","AKR1B10",-2.54809193506494,10.0395145045045,-7.96016275434354,1.55570921049958e-12,3.50066000831304e-10,2.54809193506494,18.1487778734645,"aldo-keto reductase family 1 member B10","57016"
"209950_s_at","VILL",-1.49675981493507,8.61817756756757,-7.92821133635486,1.83415933202928e-12,4.08595674396164e-10,1.49675981493507,17.9892816556529,"villin like","50853"
"202366_at","ACADS",-1.17647772727273,8.75165441441441,-7.91444530348597,1.96890079117671e-12,4.30011793382781e-10,1.17647772727273,17.9206155217914,"acyl-CoA dehydrogenase short chain","35"
"203284_s_at","HS2ST1",1.20535662012987,7.85058711711712,7.90655018276329,2.05057015614978e-12,4.43500498723774e-10,-1.20535662012987,17.8812481642242,"heparan sulfate 2-O-sulfotransferase 1","9653"
"220421_at","BTNL8",-2.03518868181818,8.55023432432433,-7.90345537741777,2.08349444121868e-12,4.46288516029121e-10,2.03518868181818,17.865819399986,"butyrophilin like 8","79908"
"210174_at","NR5A2",-1.64021597077922,7.74648801801802,-7.89299676547371,2.19869525796945e-12,4.6346524222825e-10,1.64021597077922,17.8136911466286,"nuclear receptor subfamily 5 group A member 2","2494"
"209955_s_at","FAP",1.63157493831169,6.53036036036036,7.89241437176431,2.20529315779479e-12,4.6346524222825e-10,-1.63157493831169,17.8107888941764,"fibroblast activation protein alpha","2191"
"40562_at","GNA11",-1.09035294805195,9.56688711711712,-7.88953613210185,2.23819055568705e-12,4.65982906626546e-10,1.09035294805195,17.7964465503135,"G protein subunit alpha 11","2767"
"206262_at","ADH1C",-2.77837352272728,10.3834653153153,-7.85308055113371,2.69957957934145e-12,5.56838280453606e-10,2.77837352272728,17.6149087616973,"alcohol dehydrogenase 1C (class I), gamma polypeptide","126"
"212448_at","NEDD4L",-1.25659311688312,8.54170765765766,-7.80955007139122,3.37570083946665e-12,6.70028319767811e-10,1.25659311688312,17.3984391735584,"NEDD4 like E3 ubiquitin protein ligase","23327"
"215299_x_at","SULT1A1",-1.32043750649351,10.6605636936937,-7.80822571151569,3.39871617065864e-12,6.70028319767811e-10,1.32043750649351,17.3918585368894,"sulfotransferase family 1A member 1","6817"
"219173_at","MYO15B",-1.4934016948052,8.55323702702703,-7.76712471959893,4.19594941599696e-12,8.12810131653602e-10,1.4934016948052,17.1877853533757,"myosin XVB","80022"
"204597_x_at","STC1",1.10889063636364,6.36901468468468,7.76165291102344,4.31523066812024e-12,8.28710289600988e-10,-1.10889063636364,17.1606396666238,"stanniocalcin 1","6781"
