"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Tumor_vs_Normal","B","GeneName","ENTREZID"
"212354_at","SULF1",1.64925270454546,9.69111396396396,6.40266869497235,3.7129424190713e-09,2.11003107830743e-07,-1.64925270454546,10.6278863413972,"sulfatase 1","23213"
"201666_at","TIMP1",1.35154237987013,11.6328559459459,6.38755783337563,3.99159995075942e-09,2.22859328579117e-07,-1.35154237987013,10.5581009938824,"TIMP metallopeptidase inhibitor 1","7076"
"207172_s_at","CDH11",1.12510682142857,6.89190945945946,6.35479622545516,4.66852198382954e-09,2.5242879668391e-07,-1.12510682142857,10.4070578425802,"cadherin 11","1009"
"202089_s_at","SLC39A6",1.05375643506494,7.3885445045045,6.33652449456154,5.09398507593009e-09,2.71593968961947e-07,-1.05375643506494,10.3229725994695,"solute carrier family 39 member 6","25800"
"204470_at","CXCL1",1.59919934415585,8.42926,6.33643663241491,5.09612061884876e-09,2.71593968961947e-07,-1.59919934415585,10.3225685323575,"C-X-C motif chemokine ligand 1","2919"
"214974_x_at","CXCL5",2.08869224350649,6.54007900900901,6.32986789080653,5.25830268114651e-09,2.77581063573224e-07,-2.08869224350649,10.2923670022327,"C-X-C motif chemokine ligand 5","6374"
"209695_at","PTP4A3",1.13358580194805,7.27124423423423,6.31127054437322,5.74557614933714e-09,2.99752224540477e-07,-1.13358580194805,10.206939122057,"protein tyrosine phosphatase 4A3","11156"
"204015_s_at","DUSP4",1.04924128896104,6.36167477477477,6.30212921191227,6.00114489175732e-09,3.10179825414566e-07,-1.04924128896104,10.1649905575293,"dual specificity phosphatase 4","1846"
"211506_s_at","CXCL8",1.92613478896104,7.1411154954955,6.28481566405288,6.51626921423592e-09,3.3142221298067e-07,-1.92613478896104,10.085618005067,"C-X-C motif chemokine ligand 8","3576"
"212489_at","COL5A1",1.2058721038961,7.58247009009009,6.28187534531136,6.6079790755228e-09,3.34558976966867e-07,-1.2058721038961,10.0721484524018,"collagen type V alpha 1 chain","1289"
"208712_at","CCND1",1.0452003474026,9.17897882882883,6.22589660606658,8.6176369879885e-09,4.15530517708701e-07,-1.0452003474026,9.81627517518163,"cyclin D1","595"
"210164_at","GZMB",1.49142025649351,6.57564387387387,6.223882276037,8.70020347860522e-09,4.17703519165708e-07,-1.49142025649351,9.80708800706954,"granzyme B","3002"
"211980_at","COL4A1",1.25186035064935,10.7763995495496,6.22207347512807,8.77500917795429e-09,4.20388988080189e-07,-1.25186035064935,9.79883943811498,"collagen type IV alpha 1 chain","1282"
"204619_s_at","VCAN",1.21885592857143,8.21813630630631,6.21021744558867,9.2812620911055e-09,4.41792041887943e-07,-1.21885592857143,9.7448012534843,"versican","1462"
"204268_at","S100A2",1.24572118181818,6.62542576576577,6.19496184316758,9.9751879355407e-09,4.70799283135678e-07,-1.24572118181818,9.67534044212203,"S100 calcium binding protein A2","6273"
"204285_s_at","PMAIP1",1.19610227272727,7.54814171171171,6.19135409416896,1.01466215613661e-08,4.76869807009605e-07,-1.19610227272727,9.65892579244755,"phorbol-12-myristate-13-acetate-induced protein 1","5366"
"212014_x_at","CD44",1.02955451298701,9.31705216216216,6.18539865291553,1.0435982627823e-08,4.87384454926653e-07,-1.02955451298701,9.6318395408776,"CD44 molecule (IN blood group)","960"
"202998_s_at","LOXL2",1.12630903896104,8.9971318018018,6.13727288318461,1.30925694859959e-08,5.82162016845371e-07,-1.12630903896104,9.41341638485688,"lysyl oxidase like 2","4017"
"203961_at","NEBL",1.33992414285715,9.23744576576577,6.10717498273144,1.50815476613728e-08,6.53641317611677e-07,-1.33992414285715,9.27723466035407,"nebulette","10529"
"213320_at","PRMT3",1.01078843831169,7.82563477477477,6.08181334724893,1.69861688999774e-08,7.16668342016659e-07,-1.01078843831169,9.16273686564427,"protein arginine methyltransferase 3","10196"
"203438_at","STC2",1.09054981168831,6.84661783783784,6.0767803547099,1.73913627801742e-08,7.32376916170019e-07,-1.09054981168831,9.14004271438501,"stanniocalcin 2","8614"
"219494_at","RAD54B",1.01091359415585,6.47670918918919,6.0709758643189,1.78704867847246e-08,7.45507179968746e-07,-1.01091359415585,9.11388131014311,"RAD54 homolog B","25788"
"204286_s_at","PMAIP1",1.04453908116883,6.37027612612613,6.06281846856734,1.85658487842337e-08,7.68757273915192e-07,-1.04453908116883,9.0771359802206,"phorbol-12-myristate-13-acetate-induced protein 1","5366"
"204849_at","TCFL5",1.02333967532468,7.74984765765766,6.03907312976118,2.07450627252276e-08,8.42092066551277e-07,-1.02333967532468,8.97031337163938,"transcription factor like 5","10732"
"213125_at","OLFML2B",1.06039270779221,7.17980126126126,6.03351532210207,2.12904002240346e-08,8.62338628710581e-07,-1.06039270779221,8.94534065662565,"olfactomedin like 2B","25903"
"209774_x_at","CXCL2",1.69960103571429,9.56387837837838,6.02694845623667,2.19529412915118e-08,8.84350222696216e-07,-1.69960103571429,8.9158487319336,"C-X-C motif chemokine ligand 2","2920"
"205174_s_at","QPCT",1.13826108441559,6.99066711711712,5.98414776423734,2.67960800003713e-08,1.0454225467045e-06,-1.13826108441559,8.72402405409039,"glutaminyl-peptide cyclotransferase","25797"
"204052_s_at","SFRP4",1.04376586038961,5.8624363963964,5.9250791081539,3.52438464297001e-08,1.31954145699904e-06,-1.04376586038961,8.46042531687998,"secreted frizzled related protein 4","6424"
"209581_at","PLAAT3",1.20416082142857,8.18042855855856,5.92064680595329,3.59741982519547e-08,1.34237389356582e-06,-1.20416082142857,8.44069956325784,"phospholipase A and acyltransferase 3","11145"
"204489_s_at","CD44",1.01294050649351,8.91503468468468,5.89419979973662,4.0651572708367e-08,1.49191941552602e-06,-1.01294050649351,8.32315593498183,"CD44 molecule (IN blood group)","960"
"202504_at","TRIM29",1.36057376623377,7.69893468468468,5.88084655196917,4.3235248985032e-08,1.5737771922215e-06,-1.36057376623377,8.2639104878952,"tripartite motif containing 29","23650"
"218036_x_at","NMD3",1.14160691883117,7.02580837837838,5.83640240652476,5.30514202683321e-08,1.87364172285598e-06,-1.14160691883117,8.0672240142705,"NMD3 ribosome export adaptor","51068"
"204127_at","RFC3",1.10660551948052,9.52093837837838,5.83097189747188,5.43916507947903e-08,1.91419084479549e-06,-1.10660551948052,8.04324477665543,"replication factor C subunit 3","5983"
"204014_at","DUSP4",1.08715575,6.39099297297297,5.80637955920606,6.08890314887661e-08,2.09324838653587e-06,-1.08715575,7.9348001672264,"dual specificity phosphatase 4","1846"
"217428_s_at","COL10A1",1.17070687012987,5.76322216216216,5.80238908302535,6.20128507146948e-08,2.12205879473311e-06,-1.17070687012987,7.91722613004861,"collagen type X alpha 1 chain","1300"
"205828_at","MMP3",1.68048551948052,8.33559342342342,5.79946621944605,6.28488986812513e-08,2.14408103510297e-06,-1.68048551948052,7.90435789374725,"matrix metallopeptidase 3","4314"
"203798_s_at","VSNL1",1.09117799675325,6.0936263963964,5.78495545290789,6.71661410582644e-08,2.25680260083704e-06,-1.09117799675325,7.84052330670796,"visinin like 1","7447"
"215646_s_at","VCAN",1.62142043506494,6.71390954954955,5.77614576560745,6.99278379929558e-08,2.33200965115131e-06,-1.62142043506494,7.80180973309161,"versican","1462"
"218252_at","CKAP2",1.07813821103896,8.92269576576577,5.72515007507287,8.82453227390722e-08,2.8994705820919e-06,-1.07813821103896,7.57833040485721,"cytoskeleton associated protein 2","26586"
"213905_x_at","BGN",1.09178740584416,7.84144693693694,5.72273957873864,8.92189018875067e-08,2.92714208740499e-06,-1.09178740584416,7.56779309257592,"biglycan","633"
"203786_s_at","TPD52L1",1.02677911038961,9.23257450450451,5.72092665881226,8.99580602688775e-08,2.94705251266145e-06,-1.02677911038961,7.5598696131057,"TPD52 like 1","7164"
"206286_s_at","CRIPTO",1.37487455844156,8.71019513513514,5.69293448966034,1.02163269212484e-07,3.28886004081866e-06,-1.37487455844156,7.43769977986894,"cripto, EGF-CFC family member","6997"
"202627_s_at","SERPINE1",1.18577350974026,7.30044153153153,5.66089265562459,1.18134733977723e-07,3.69684542369782e-06,-1.18577350974026,7.29825388401542,"serpin family E member 1","5054"
"211571_s_at","VCAN",1.33043047077922,7.3559018018018,5.60676420574629,1.50847290457982e-07,4.50459127283171e-06,-1.33043047077922,7.06366473864,"versican","1462"
"205240_at","GPSM2",1.00637048701299,9.10605117117117,5.60424376023671,1.52569672361117e-07,4.54992582488435e-06,-1.00637048701299,7.05277149402542,"G protein signaling modulator 2","29899"
"211953_s_at","IPO5",1.12210383116883,8.92929189189189,5.59204548538391,1.61181644933682e-07,4.76845086877508e-06,-1.12210383116883,7.00008938087401,"importin 5","3843"
"213869_x_at","THY1",1.00925272727273,8.18039981981982,5.57708259216472,1.72397777880357e-07,5.02683939507946e-06,-1.00925272727273,6.93555422321059,"Thy-1 cell surface antigen","7070"
"203910_at","ARHGAP29",1.07792694155844,8.37830027027027,5.5701554748949,1.77845891961835e-07,5.15198040992693e-06,-1.07792694155844,6.90570998608266,"Rho GTPase activating protein 29","9411"
"217777_s_at","HACD3",1.00851280194805,7.37915234234234,5.56233662351671,1.84198102600726e-07,5.31526053320775e-06,-1.00851280194805,6.87204866868162,"3-hydroxyacyl-CoA dehydratase 3","51495"
"212950_at","ADGRF5",1.00974726298701,7.92751531531532,5.54517618965129,1.98928795801463e-07,5.62377764475785e-06,-1.00974726298701,6.79826293547139,"adhesion G protein-coupled receptor F5","221395"
"202628_s_at","SERPINE1",1.38786953246753,7.90199261261261,5.54230856200588,2.0150042046223e-07,5.68205679321152e-06,-1.38786953246753,6.7859452537481,"serpin family E member 1","5054"
"203987_at","FZD6",1.03714126298702,8.23738171171171,5.53824585097849,2.05199586883621e-07,5.76447818033597e-06,-1.03714126298702,6.76850028693366,"frizzled class receptor 6","8323"
"205941_s_at","COL10A1",1.14601176623377,5.96577918918919,5.50975883492117,2.33071849163694e-07,6.4578875420642e-06,-1.14601176623377,6.64638107911221,"collagen type X alpha 1 chain","1300"
"200665_s_at","SPARC",1.14962249025974,11.3826302702703,5.46320877378704,2.86786236054836e-07,7.69727347059468e-06,-1.14962249025974,6.44759492972927,"secreted protein acidic and cysteine rich","6678"
"202357_s_at","CFB",1.05318932142857,8.21012675675676,5.46146561108111,2.89016997083579e-07,7.74781184600588e-06,-1.05318932142857,6.44016958679089,"complement factor B","629"
"202310_s_at","COL1A1",1.34908282142857,11.0629003603604,5.43195540677508,3.29462523128837e-07,8.61239889100653e-06,-1.34908282142857,6.31467059600942,"collagen type I alpha 1 chain","1277"
"205983_at","DPEP1",1.64868051948052,6.95928765765766,5.42381216686741,3.41565625265143e-07,8.86910018110696e-06,-1.64868051948052,6.28010816680769,"dipeptidase 1","1800"
"219787_s_at","ECT2",1.09463113311688,9.04901288288288,5.41785390583624,3.50695688287975e-07,9.07200186015558e-06,-1.09463113311688,6.25483833944036,"epithelial cell transforming 2","1894"
"218782_s_at","ATAD2",1.00395685714286,6.81587675675676,5.38591457980878,4.03858004149026e-07,1.01543394564648e-05,-1.00395685714286,6.11965230491907,"ATPase family AAA domain containing 2","29028"
"221558_s_at","LEF1",1.03940026948052,7.22477702702703,5.38440465025761,4.06557358236482e-07,1.02106857603541e-05,-1.03940026948052,6.11327283608224,"lymphoid enhancer binding factor 1","51176"
"207714_s_at","SERPINH1",1.05688519805195,9.00648225225225,5.37849947995354,4.17284661716394e-07,1.04145280396908e-05,-1.05688519805195,6.08833338537003,"serpin family H member 1","871"
"203510_at","MET",1.01970556818182,10.1590942342342,5.37629161469319,4.21366121741333e-07,1.04763092567318e-05,-1.01970556818182,6.0790129313652,"MET proto-oncogene, receptor tyrosine kinase","4233"
"206354_at","SLCO1B3",1.4015025,6.13031432432432,5.34894722329045,4.75266186967203e-07,1.16474200737826e-05,-1.4015025,5.96376378063316,"solute carrier organic anion transporter family member 1B3","28234"
"214845_s_at","CALU",1.01999621103896,7.58741486486486,5.34624979613558,4.80934794067075e-07,1.17604658698488e-05,-1.01999621103896,5.9524134297836,"calumenin","813"
"209921_at","SLC7A11",1.06570158116883,7.6014527027027,5.31823889489212,5.43845857760148e-07,1.30271550250783e-05,-1.06570158116883,5.83474616074759,"solute carrier family 7 member 11","23657"
"208788_at","ELOVL5",1.12860437012987,10.1556512612613,5.30130061269341,5.85716887044778e-07,1.38956497259814e-05,-1.12860437012987,5.76376863991246,"ELOVL fatty acid elongase 5","60481"
"205767_at","EREG",1.59558676298702,7.99215198198198,5.29489456633701,6.02359650552651e-07,1.42298684362263e-05,-1.59558676298702,5.73695978296877,"epiregulin","2069"
"205713_s_at","COMP",1.09247911363636,5.84040027027027,5.26093700578893,6.98593848933453e-07,1.61270209043425e-05,-1.09247911363636,5.59517039761917,"cartilage oligomeric matrix protein","1311"
"221730_at","COL5A2",1.39383924025974,8.93859072072072,5.25643578353491,7.12426898831881e-07,1.63610181310629e-05,-1.39383924025974,5.5764162681736,"collagen type V alpha 2 chain","1290"
"211668_s_at","PLAU",1.16672750974026,6.36215873873874,5.19662690794407,9.23658469093021e-07,2.0272255877818e-05,-1.16672750974026,5.32813753336481,"plasminogen activator, urokinase","5328"
"210052_s_at","TPX2",1.14250770779221,8.63521864864865,5.16232016832031,1.07121876836211e-06,2.28797128502422e-05,-1.14250770779221,5.18649615931516,"TPX2 microtubule nucleation factor","22974"
"209792_s_at","KLK10",1.04441649675325,6.25934900900901,5.11167034291275,1.33191579935382e-06,2.74478152286818e-05,-1.04441649675325,4.97842350744721,"kallikrein related peptidase 10","5655"
"215446_s_at","LOX",1.01738180519481,7.64941261261261,5.09320880903744,1.44154530009986e-06,2.9327218858744e-05,-1.01738180519481,4.90289491549702,"lysyl oxidase","4015"
"205990_s_at","WNT5A",1.06668270454546,7.31625477477477,5.06880711700406,1.60002236379543e-06,3.21403951291892e-05,-1.06668270454546,4.80332277318315,"Wnt family member 5A","7474"
"205943_at","TDO2",1.3697814448052,6.75911,5.06509478790558,1.62557382998739e-06,3.24779445835238e-05,-1.3697814448052,4.78820035376467,"tryptophan 2,3-dioxygenase","6999"
"204475_at","MMP1",1.94249709415585,8.22073126126126,5.06208681631014,1.64656838509489e-06,3.28679246548018e-05,-1.94249709415585,4.77595221164743,"matrix metallopeptidase 1","4312"
"208767_s_at","LAPTM4B",1.02560298376623,9.04678423423423,5.0292080058324,1.8939783751702e-06,3.68168902824315e-05,-1.02560298376623,4.64236784576109,"lysosomal protein transmembrane 4 beta","55353"
"213880_at","LGR5",1.59482165584416,7.22517198198198,5.02484779612585,1.92939240604377e-06,3.72776015866757e-05,-1.59482165584416,4.6246933097728,"leucine rich repeat containing G protein-coupled receptor 5","8549"
"207549_x_at","CD46",1.30121169155844,8.92848243243243,5.01836285551866,1.98325890099123e-06,3.81529002913485e-05,-1.30121169155844,4.5984236680787,"CD46 molecule","4179"
"221577_x_at","GDF15",1.18479337662338,9.51579450450451,4.98686133205246,2.26645228424416e-06,4.27636888553011e-05,-1.18479337662338,4.47111742446019,"growth differentiation factor 15","9518"
"204620_s_at","VCAN",1.17070487987013,9.82882261261261,4.96462818122237,2.48962295813412e-06,4.59583543103965e-05,-1.17070487987013,4.38157063643539,"versican","1462"
"213222_at","PLCB1",1.08777647727273,7.43984540540541,4.90379108815228,3.21518320737006e-06,5.72997090484662e-05,-1.08777647727273,4.13783845584639,"phospholipase C beta 1","23236"
"209821_at","IL33",1.00325718181818,6.62661558558559,4.79365017599408,5.08475376760818e-06,8.4532134090304e-05,-1.00325718181818,3.70149544952748,"interleukin 33","90865"
