"","ProbeID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","logFC_Tumor_vs_Normal","ProbeID_clean","Gene_Name","ENTREZ_ID"
"1670","11719173_s_at","PAICS",280.409332857143,328.393962142857,10.7558206461178,3.52751705319298e-11,3.3508020162013e-08,13.4258600242471,-280.409332857143,"11719173","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase","10606"
"10179","11747041_x_at","CCT4",789.112452857143,1304.38020928571,10.7346234899561,3.68229356287203e-11,3.43182812335969e-08,13.3947261463186,-789.112452857143,"11747041","chaperonin containing TCP1, subunit 4 (delta)","10575"
"5335","11728968_a_at","AASDHPPT",123.411132857143,208.036000714286,10.6733632930967,4.1701154782603e-11,3.57618319717619e-08,13.3043657824353,-123.411132857143,"11728968","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","60496"
"11072","11750432_a_at","CCT3",689.055374285714,1089.78757,10.6809399143042,4.10634098623879e-11,3.57618319717619e-08,13.31557238436,-689.055374285714,"11750432","chaperonin containing TCP1, subunit 3 (gamma)","7203"
"11073","11750433_x_at","CCT3",741.670156428571,1145.07943607143,10.6793608545106,4.11954904221516e-11,3.57618319717619e-08,13.3132375128985,-741.670156428571,"11750433","chaperonin containing TCP1, subunit 3 (gamma)","7203"
"10917","11749821_x_at","CCT4",961.006891428571,1523.42035428571,10.6521021654545,4.35457748395893e-11,3.64566703085003e-08,13.2728717170969,-961.006891428571,"11749821","chaperonin containing TCP1, subunit 4 (delta)","10575"
"5404","11729172_s_at","NIFK",577.091507857143,734.7792975,10.6227613963248,4.6230308386519e-11,3.74351816844608e-08,13.2292960995551,-577.091507857143,"11729172","nucleolar protein interacting with the FHA domain of MKI67","84365"
"9556","11744890_a_at","GTPBP4",143.4753615,194.304618535714,10.5610862828695,5.24430372167877e-11,4.04753722394255e-08,13.1372696559038,-143.4753615,"11744890","GTP binding protein 4","23560"
"1776","11719434_a_at","ETV4",196.614305214286,145.111803107143,10.548453828848,5.3818187057296e-11,4.06207038380395e-08,13.1183485785183,-196.614305214286,"11719434","ets variant 4","2118"
"214","11715735_a_at","TMEM123",163.733422285714,200.563862428571,10.5166339341809,5.74489710190997e-11,4.17307635807122e-08,13.0705794852059,-163.733422285714,"11715735","transmembrane protein 123","114908"
"9047","11743582_a_at","EEF1E1",384.407560714286,441.948586785714,10.4627948159228,6.41769038847852e-11,4.45790339713932e-08,12.9893987895995,-384.407560714286,"11743582","eukaryotic translation elongation factor 1 epsilon 1","9521"
"6732","11733699_a_at","TEAD4",163.637758571429,166.136636428571,10.4231183650955,6.96502180962048e-11,4.58716336381605e-08,12.9292860666581,-163.637758571429,"11733699","TEA domain family member 4","7004"
"5406","11729183_a_at","RPAP3",25.4281972857143,48.8132257142857,10.2938739491201,9.10524168908037e-11,5.69308118015348e-08,12.7317725675319,-25.4281972857143,"11729183","RNA polymerase II associated protein 3","79657"
"11353","11751732_x_at","FAM136A",92.3251114285714,207.534668571429,10.2996486639943,8.99648407812939e-11,5.69308118015348e-08,12.7406532950353,-92.3251114285714,"11751732","family with sequence similarity 136, member A","84908"
"5922","11730881_a_at","NEBL",351.045669642857,273.782119464286,10.2313337116751,1.03735005807756e-10,6.17348266490859e-08,12.6352587300741,-351.045669642857,"11730881","nebulette","10529"
"7815","11739062_s_at","GTPBP4",209.932207857143,269.6934875,10.2238336592117,1.05373478702742e-10,6.18038988316963e-08,12.6236431189122,-209.932207857143,"11739062","GTP binding protein 4","23560"
"14031","11759622_s_at","DDX21",1548.08861142857,1907.07628,10.2194047415308,1.06353505429582e-10,6.18038988316963e-08,12.6167797253038,-1548.08861142857,"11759622","DEAD (Asp-Glu-Ala-Asp) box helicase 21","9188"
"768","11716982_at","CMSS1",148.020178357143,148.298601535714,10.1772157092259,1.16172601626947e-10,6.45761986479474e-08,12.551245137595,-148.020178357143,"11716982_at","cms1 ribosomal small subunit homolog (yeast)","84319"
"880","11717235_s_at","RPS7 /// RPS7P1",3213.53185,9297.73428928571,10.1284892219458,1.28682398361944e-10,6.97061458361237e-08,12.475205172074,-3213.53185,"11717235","ribosomal protein S7 /// ribosomal protein S7 pseudogene 1","6201 /// 388363"
"914","11717309_x_at","WDR75",110.104367857143,199.514960357143,10.0991120597398,1.36886246504788e-10,6.97061458361237e-08,12.4291787320403,-110.104367857143,"11717309","WD repeat domain 75","84128"
"8770","11742856_a_at","ASNSD1",210.494939285714,503.8146825,10.1155780586104,1.3222382575076e-10,6.97061458361237e-08,12.4549935958886,-210.494939285714,"11742856","asparagine synthetase domain containing 1","54529"
"8961","11743385_a_at","PRPF40A",188.696735,466.567199642857,10.1071749235439,1.34582446893978e-10,6.97061458361237e-08,12.4418248157824,-188.696735,"11743385","PRP40 pre-mRNA processing factor 40 homolog A","55660"
"14753","200082_PM_s_at","RPS7",2471.68759285714,6256.785025,10.1074478811039,1.34505156316509e-10,6.97061458361237e-08,12.4422527512983,-2471.68759285714,"200082_PM","ribosomal protein S7","6201"
"1232","11718028_x_at","PUS1",211.942261,259.883383071429,10.0557944356826,1.49976584416211e-10,7.40809338723875e-08,12.361060676918,-211.942261,"11718028","pseudouridylate synthase 1","80324"
"3106","11722839_at","LYAR",166.3415855,167.563352964286,10.0197454789148,1.61848999473521e-10,7.83407139456082e-08,12.3041445995147,-166.3415855,"11722839_at","Ly1 antibody reactive","55646"
"2239","11720614_s_at","CLNS1A",482.897430714286,841.320463214286,9.96582776535166,1.81438842891525e-10,8.42747828055288e-08,12.2186282767238,-482.897430714286,"11720614","chloride channel, nucleotide-sensitive, 1A","1207"
"10634","11748749_a_at","GTPBP4",175.608019,220.631366214286,9.93979568229729,1.91754168467956e-10,8.45687245667383e-08,12.1771730830585,-175.608019,"11748749","GTP binding protein 4","23560"
"10609","11748672_x_at","POLR1E",62.3161684285714,102.839704785714,9.90979015950897,2.04395465242445e-10,8.77922957013092e-08,12.1292551163359,-62.3161684285714,"11748672","polymerase (RNA) I polypeptide E","64425"
"8962","11743386_s_at","PRPF40A",302.010695,866.196956785714,9.89649606787736,2.10267183081773e-10,8.95357543821051e-08,12.1079784711284,-302.010695,"11743386","PRP40 pre-mRNA processing factor 40 homolog A","55660"
"6421","11732545_s_at","NOB1",566.247896428571,727.253415357143,9.88948295943513,2.13434318513971e-10,9.01075911367315e-08,12.0967427979653,-566.247896428571,"11732545","NIN1/RPN12 binding protein 1 homolog","28987"
"7265","11736009_a_at","RSL1D1",264.130475,415.975933928571,9.86299667883252,2.25844689368838e-10,9.37445246333927e-08,12.0542376225385,-264.130475,"11736009","ribosomal L1 domain containing 1","26156"
"913","11717308_a_at","WDR75",77.8339517142857,125.400826285714,9.81830958596986,2.48491138492898e-10,9.89856434343282e-08,11.9822666561816,-77.8339517142857,"11717308","WD repeat domain 75","84128"
"9172","11743908_a_at","CTPS1",186.014085642857,194.392689321429,9.82068313113935,2.47231498505341e-10,9.89856434343282e-08,11.9860975099908,-186.014085642857,"11743908","CTP synthase 1","1503"
"1900","11719720_s_at","LSM7",843.100732142857,1590.83269821429,9.79887049011559,2.59058978913495e-10,1.02369746107457e-07,11.9508579712335,-843.100732142857,"11719720","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated","51690"
"5424","11729233_a_at","E2F6",14.3753721785714,17.5347214107143,9.77915363078781,2.70250376617084e-10,1.05110372858275e-07,11.9189378411949,-14.3753721785714,"11729233","E2F transcription factor 6","1876"
"11867","11753840_x_at","SNRPF",985.241596428571,1532.36037321429,9.73700570418278,2.95871191824848e-10,1.11561507787698e-07,11.8504915259448,-985.241596428571,"11753840","small nuclear ribonucleoprotein polypeptide F","6636"
"1901","11719721_x_at","LSM7",585.760150714286,1039.88408892857,9.68287580848619,3.3248118716244e-10,1.21651172147324e-07,11.7621623901928,-585.760150714286,"11719721","LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated","51690"
"12742","11756223_s_at","DDX21",657.206115,812.8561425,9.67316217287288,3.39528433300232e-10,1.23316227668125e-07,11.7462610434684,-657.206115,"11756223","DEAD (Asp-Glu-Ala-Asp) box helicase 21","9188"
"915","11717310_a_at","GNL3",276.410278571429,408.049554285714,9.66636319227777,3.4455226625921e-10,1.23327240520824e-07,11.7351218437381,-276.410278571429,"11717310","guanine nucleotide binding protein-like 3 (nucleolar)","26354"
"561","11716524_a_at","PFDN2",187.797986428571,266.9420575,9.65821680166615,3.50672451424423e-10,1.24614861425247e-07,11.721765135864,-187.797986428571,"11716524","prefoldin subunit 2","5202"
"9254","11744109_a_at","ZC3H15",394.568099285714,1002.45097178571,9.64787890329716,3.58600239494706e-10,1.25624530708092e-07,11.704799620665,-394.568099285714,"11744109","zinc finger CCCH-type containing 15","55854"
"1846","11719610_s_at","ADO",117.447488571429,217.582152857143,9.60381831138969,3.94509619620522e-10,1.32563283409222e-07,11.6322953861033,-117.447488571429,"11719610","2-aminoethanethiol (cysteamine) dioxygenase","84890"
"4003","11725210_s_at","NFXL1",68.87939,97.3265278571428,9.59353351310497,4.03411242828081e-10,1.32843322263287e-07,11.6153252930973,-68.87939,"11725210","nuclear transcription factor, X-box binding-like 1","152518"
"11427","11752036_s_at","TMEM123",1033.65556142857,1573.35529071429,9.59495992708219,4.02164440014754e-10,1.32843322263287e-07,11.6176799385164,-1033.65556142857,"11752036","transmembrane protein 123","114908"
"8660","11742223_a_at","NOP14",33.6512031428571,44.5396225,9.55140431448368,4.42083584448054e-10,1.417968743754e-07,11.545629853084,-33.6512031428571,"11742223","NOP14 nucleolar protein","8602"
"37","11715301_s_at","NOP16",269.136219285714,332.453764642857,9.5314085002571,4.61752134748804e-10,1.43141807941147e-07,11.5124479821143,-269.136219285714,"11715301","NOP16 nucleolar protein","51491"
"1427","11718549_a_at","ILF3",401.822369285714,783.483663214286,9.53653333313919,4.56627042671108e-10,1.43141807941147e-07,11.5209586201456,-401.822369285714,"11718549","interleukin enhancer binding factor 3","3609"
"4111","11725449_a_at","C2orf49",24.9872187857143,60.2901468928571,9.52509579477438,4.68146486018999e-10,1.43141807941147e-07,11.5019587304396,-24.9872187857143,"11725449","chromosome 2 open reading frame 49","79074"
"4425","11726279_x_at","RAN",1233.60815,2073.52058214286,9.52900993499744,4.64171086274033e-10,1.43141807941147e-07,11.5084632774194,-1233.60815,"11726279","RAN, member RAS oncogene family","5901"
"5341","11728986_x_at","MTHFD1L",281.549709071429,211.310118321429,9.53335048946975,4.59803129030692e-10,1.43141807941147e-07,11.5156734880327,-281.549709071429,"11728986","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","25902"
"12853","11756456_a_at","C10orf2",110.016195714286,119.26796,9.5208376595594,4.72511007175152e-10,1.43141807941147e-07,11.494879659736,-110.016195714286,"11756456","chromosome 10 open reading frame 2","56652"
"3256","11723218_s_at","GPN1",145.015562142857,473.465201785714,9.51472146139379,4.78853276907558e-10,1.4335125825969e-07,11.4847063587979,-145.015562142857,"11723218","GPN-loop GTPase 1","11321"
"11635","11752912_x_at","EIF3M",636.13805,1457.611825,9.49513436302142,4.99759206285819e-10,1.47817999966994e-07,11.4520848456968,-636.13805,"11752912","eukaryotic translation initiation factor 3, subunit M","10480"
"2179","11720475_x_at","SFPQ /// SFPQ",378.098147142857,742.102296428571,9.47913999131393,5.17524782928003e-10,1.52161527694814e-07,11.4253998564184,-378.098147142857,"11720475","splicing factor proline/glutamine-rich /// splicing factor proline/glutamine-rich","6421 /// 654780"
"10020","11746468_a_at","DARS",212.428994285714,322.27537,9.45592692669304,5.444700030342e-10,1.58200563528672e-07,11.3865959400509,-212.428994285714,"11746468","aspartyl-tRNA synthetase","1615"
"400","11716143_a_at","SIGMAR1",391.027842857143,532.706014285714,9.44399657857394,5.58875002124774e-10,1.59570119826319e-07,11.3666179715038,-391.027842857143,"11716143","sigma non-opioid intracellular receptor 1","10280"
"3673","11724299_s_at","DDX31",66.2435265,99.7071063214286,9.42420681243965,5.83638765245754e-10,1.64736210338937e-07,11.3334269987668,-66.2435265,"11724299","DEAD (Asp-Glu-Ala-Asp) box polypeptide 31","64794"
"1006","11717511_a_at","UTP4",219.891315428571,269.754707285714,9.40912245233734,6.03269502218829e-10,1.6679467194292e-07,11.308084208612,-219.891315428571,"11717511","UTP4 small subunit (SSU) processome component","84916"
"2741","11721892_a_at","ANAPC1",197.31832,291.098798571429,9.40824005681098,6.04438633015136e-10,1.6679467194292e-07,11.3066005527379,-197.31832,"11721892","anaphase promoting complex subunit 1","64682"
"881","11717236_x_at","RPS7 /// RPS7P1",2517.7053,7853.45820714286,9.3704795139482,6.56713472836849e-10,1.76295445602044e-07,11.2429889535473,-2517.7053,"11717236","ribosomal protein S7 /// ribosomal protein S7 pseudogene 1","6201 /// 388363"
"13329","11757666_x_at","SNRPD2",1206.07585,2413.36630357143,9.36268409725584,6.68071335491407e-10,1.78375046576206e-07,11.229827237151,-1206.07585,"11757666","small nuclear ribonucleoprotein D2 polypeptide","6633"
"50","11715344_at","GSTP1",1677.72537857143,2435.48728214286,9.32313691549412,7.28878371135138e-10,1.90491783821271e-07,11.162900259062,-1677.72537857143,"11715344_at","glutathione S-transferase pi 1","2950"
"202","11715697_a_at","NOLC1",694.174850714286,996.706013214286,9.30953756486895,7.51078232270297e-10,1.94238268497337e-07,11.1398254142122,-694.174850714286,"11715697","nucleolar and coiled-body phosphoprotein 1","9221"
"5408","11729185_at","PNO1",120.386454785714,122.988187321429,9.29664042656617,7.72773403103006e-10,1.96758465186974e-07,11.1179135509396,-120.386454785714,"11729185_at","partner of NOB1 homolog","56902"
"5339","11728984_a_at","MTHFD1L",212.8103615,152.945102821429,9.27636747643946,8.08185164181727e-10,2.02673383168043e-07,11.0834142637446,-212.8103615,"11728984","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","25902"
"6194","11731795_at","EPHX4",81.1926848142857,51.29117195,9.27400610893725,8.12416841123038e-10,2.02673383168043e-07,11.0793913664093,-81.1926848142857,"11731795_at","epoxide hydrolase 4","253152"
"6674","11733454_a_at","CEP83",24.7135508571429,50.1319604285714,9.27855252982661,8.04289609849225e-10,2.02673383168043e-07,11.0871359570311,-24.7135508571429,"11733454","centrosomal protein 83kDa","51134"
"4784","11727311_a_at","CEP83",25.0385442142857,50.4321038928571,9.26495312874471,8.28852116159992e-10,2.05590414051624e-07,11.0639597995315,-25.0385442142857,"11727311","centrosomal protein 83kDa","51134"
"7781","11738829_x_at","C1orf109",83.2503935714286,123.672378214286,9.26233420038563,8.33670039907246e-10,2.05590414051624e-07,11.0594930606955,-83.2503935714286,"11738829","chromosome 1 open reading frame 109","54955"
"225","11715755_a_at","ATIC",406.325417857143,597.060613928571,9.25191790475604,8.5311881483654e-10,2.06346779674189e-07,11.0417160932049,-406.325417857143,"11715755","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","471"
"2060","11720177_a_at","NOL6",12.1613295714286,25.8072883571429,9.24802066832904,8.60514752953736e-10,2.06346779674189e-07,11.0350602105585,-12.1613295714286,"11720177","nucleolar protein 6 (RNA-associated)","65083"
"9974","11746340_a_at","NOL8",80.5422402857143,141.858217714286,9.25552502761845,8.46331593285278e-10,2.06346779674189e-07,11.0478742421902,-80.5422402857143,"11746340","nucleolar protein 8","55035"
"11634","11752911_a_at","EIF3M",237.310057857143,524.392086785714,9.24799613080561,8.60561526731107e-10,2.06346779674189e-07,11.0350182961784,-237.310057857143,"11752911","eukaryotic translation initiation factor 3, subunit M","10480"
"14539","11763395_a_at","ZC3HAV1L",204.620203642857,201.796224607143,9.21842302701952,9.1887589770962e-10,2.1682020833008e-07,10.9844290059396,-204.620203642857,"11763395","zinc finger CCCH-type, antiviral 1-like","92092"
"8521","11741528_a_at","ACP1",278.185202857143,510.973142857143,9.20631929630137,9.43898912101205e-10,2.19923994166222e-07,10.9636814875822,-278.185202857143,"11741528","acid phosphatase 1, soluble","52"
"13731","11758633_s_at","PDCD5",804.597856428572,1309.1156575,9.20173643839867,9.53555062178178e-10,2.21130761954418e-07,10.9558194074749,-804.597856428572,"11758633","programmed cell death 5","9141"
"4970","11727833_at","WDR43",125.3519825,164.695868035714,9.19198943171127,9.74430806509969e-10,2.24915933119439e-07,10.9390863087308,-125.3519825,"11727833_at","WD repeat domain 43","23160"
"2639","11721649_a_at","GPATCH4",74.9851185,109.696378892857,9.1780476564195,1.00510937414196e-09,2.26713942186945e-07,10.915124172274,-74.9851185,"11721649","G-patch domain containing 4","54865"
"7387","11736430_a_at","NOL8",82.6270293571429,133.999742464286,9.17911041890924,1.00273625901987e-09,2.26713942186945e-07,10.9169519216216,-82.6270293571429,"11736430","nucleolar protein 8","55035"
"7842","11739128_a_at","CDH3",707.967702214286,421.676558178571,9.17860178519388,1.00387130358681e-09,2.26713942186945e-07,10.9160771920247,-707.967702214286,"11739128","cadherin 3, type 1, P-cadherin (placental)","1001"
